model,k,coherence
NMF,5,0.5620656262216267
NMF,8,0.5607349447935458
NMF,10,0.558054837805104
NMF,12,0.580609165114388
NMF,15,0.5835937495883191
NMF,18,0.5966172734855685
LDA,5,0.48539262778172043
LDA,8,0.4956346262703898
LDA,10,0.46736509702272916
LDA,12,0.45063623133586933
LDA,15,0.532496164253148
LDA,18,0.42334640115452776
